game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0041500404,2016 Playoff,6/10/16,Harrison Barnes,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,Richard Jefferson,LeBron James,Tristan Thompson,J.R. Smith,Kyrie Irving,1,0,0,0:12:00,0:00:00,0:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0041500404,2016 Playoff,6/10/16,Harrison Barnes,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,Richard Jefferson,LeBron James,Tristan Thompson,J.R. Smith,Kyrie Irving,1,0,0,0:12:00,0:00:00,0:00:00,1,GSW,jump ball,,Andrew Bogut,Tristan Thompson,,,,,,,Tristan Thompson,,Stephen Curry,,,,jump ball,,,,,,Jump Ball Thompson vs. Bogut: Tip to Curry
0041500404,2016 Playoff,6/10/16,Harrison Barnes,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,Richard Jefferson,LeBron James,Tristan Thompson,J.R. Smith,Kyrie Irving,1,0,0,0:11:41,0:00:19,0:00:19,2,GSW,miss,,,,,,,,,,Draymond Green,0,,,missed,,Jump Shot,25,-4,247,25.4,29.7,MISS Green 25' 3PT Jump Shot
0041500404,2016 Playoff,6/10/16,Harrison Barnes,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,Richard Jefferson,LeBron James,Tristan Thompson,J.R. Smith,Kyrie Irving,1,0,0,0:11:40,0:00:20,0:00:01,3,GSW,rebound,,,,,,,,,,Harrison Barnes,,,,,,rebound offensive,,,,,,Barnes REBOUND (Off:1 Def:0)
0041500404,2016 Playoff,6/10/16,Harrison Barnes,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,Richard Jefferson,LeBron James,Tristan Thompson,J.R. Smith,Kyrie Irving,1,3,0,0:11:29,0:00:31,0:00:11,4,GSW,shot,Stephen Curry,,,,,,,,,Harrison Barnes,3,,,made,,Jump Shot,23,225,-6,2.5,4.4,Barnes  3PT Jump Shot (3 PTS) (Curry 1 AST)
0041500404,2016 Playoff,6/10/16,Harrison Barnes,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,Richard Jefferson,LeBron James,Tristan Thompson,J.R. Smith,Kyrie Irving,1,3,3,0:11:14,0:00:46,0:00:15,5,CLE,shot,LeBron James,,,,,,,,,Kyrie Irving,3,,,made,,Jump Shot,24,-240,-19,1,90.9,Irving 24' 3PT Jump Shot (3 PTS) (James 1 AST)
0041500404,2016 Playoff,6/10/16,Harrison Barnes,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,Richard Jefferson,LeBron James,Tristan Thompson,J.R. Smith,Kyrie Irving,1,3,3,0:10:58,0:01:02,0:00:16,6,CLE,foul,,,,,,,,Draymond Green,,Kyrie Irving,,,s.foul,,,s.foul,,,,,,Irving S.FOUL (P1.T1) (J.Phillips)
0041500404,2016 Playoff,6/10/16,Harrison Barnes,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,Richard Jefferson,LeBron James,Tristan Thompson,J.R. Smith,Kyrie Irving,1,4,3,0:10:58,0:01:02,0:00:00,7,GSW,free throw,,,,,,,1,,2,Draymond Green,1,,,made,,Free Throw 1 of 2,,,,,,Green Free Throw 1 of 2 (1 PTS)
0041500404,2016 Playoff,6/10/16,Harrison Barnes,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,Richard Jefferson,LeBron James,Tristan Thompson,J.R. Smith,Kyrie Irving,1,5,3,0:10:58,0:01:02,0:00:00,9,GSW,free throw,,,,,,,2,,2,Draymond Green,1,,,made,,Free Throw 2 of 2,,,,,,Green Free Throw 2 of 2 (2 PTS)
0041500404,2016 Playoff,6/10/16,Harrison Barnes,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,Richard Jefferson,LeBron James,Tristan Thompson,J.R. Smith,Kyrie Irving,1,5,6,0:10:44,0:01:16,0:00:14,11,CLE,shot,Kyrie Irving,,,,,,,,,J.R. Smith,3,,,made,,Jump Shot,23,232,-11,48.2,90.1,Smith  3PT Jump Shot (3 PTS) (Irving 1 AST)
